"Sample","Population","Population.Description","Gender"
"HG00096","GBR","British in England and Scotland","male"
"HG00097","GBR","British in England and Scotland","female"
"HG00099","GBR","British in England and Scotland","female"
"HG00100","GBR","British in England and Scotland","female"
"HG00101","GBR","British in England and Scotland","male"
"HG00102","GBR","British in England and Scotland","female"
"HG00103","GBR","British in England and Scotland","male"
"HG00104","GBR","British in England and Scotland","female"
"HG00105","GBR","British in England and Scotland","male"
"HG00106","GBR","British in England and Scotland","female"
"HG00107","GBR","British in England and Scotland","male"
"HG00108","GBR","British in England and Scotland","male"
"HG00109","GBR","British in England and Scotland","male"
"HG00110","GBR","British in England and Scotland","female"
"HG00111","GBR","British in England and Scotland","female"
"HG00112","GBR","British in England and Scotland","male"
"HG00113","GBR","British in England and Scotland","male"
"HG00114","GBR","British in England and Scotland","male"
"HG00115","GBR","British in England and Scotland","male"
"HG00116","GBR","British in England and Scotland","male"
"HG00117","GBR","British in England and Scotland","male"
"HG00118","GBR","British in England and Scotland","female"
"HG00119","GBR","British in England and Scotland","male"
"HG00120","GBR","British in England and Scotland","female"
"HG00121","GBR","British in England and Scotland","female"
"HG00122","GBR","British in England and Scotland","female"
"HG00123","GBR","British in England and Scotland","female"
"HG00125","GBR","British in England and Scotland","female"
"HG00126","GBR","British in England and Scotland","male"
"HG00127","GBR","British in England and Scotland","female"
"HG00128","GBR","British in England and Scotland","female"
"HG00129","GBR","British in England and Scotland","male"
"HG00130","GBR","British in England and Scotland","female"
"HG00131","GBR","British in England and Scotland","male"
"HG00132","GBR","British in England and Scotland","female"
"HG00133","GBR","British in England and Scotland","female"
"HG00134","GBR","British in England and Scotland","female"
"HG00135","GBR","British in England and Scotland","female"
"HG00136","GBR","British in England and Scotland","male"
"HG00137","GBR","British in England and Scotland","female"
"HG00138","GBR","British in England and Scotland","male"
"HG00139","GBR","British in England and Scotland","male"
"HG00140","GBR","British in England and Scotland","male"
"HG00141","GBR","British in England and Scotland","male"
"HG00142","GBR","British in England and Scotland","male"
"HG00143","GBR","British in England and Scotland","male"
"HG00145","GBR","British in England and Scotland","male"
"HG00146","GBR","British in England and Scotland","female"
"HG00148","GBR","British in England and Scotland","male"
"HG00149","GBR","British in England and Scotland","male"
"HG00150","GBR","British in England and Scotland","female"
"HG00151","GBR","British in England and Scotland","male"
"HG00152","GBR","British in England and Scotland","male"
"HG00154","GBR","British in England and Scotland","female"
"HG00155","GBR","British in England and Scotland","male"
"HG00156","GBR","British in England and Scotland","male"
"HG00157","GBR","British in England and Scotland","male"
"HG00158","GBR","British in England and Scotland","female"
"HG00159","GBR","British in England and Scotland","male"
"HG00160","GBR","British in England and Scotland","male"
"HG00171","FIN","Finnish in Finland","female"
"HG00173","FIN","Finnish in Finland","female"
"HG00174","FIN","Finnish in Finland","female"
"HG00176","FIN","Finnish in Finland","female"
"HG00177","FIN","Finnish in Finland","female"
"HG00178","FIN","Finnish in Finland","female"
"HG00179","FIN","Finnish in Finland","female"
"HG00180","FIN","Finnish in Finland","female"
"HG00181","FIN","Finnish in Finland","male"
"HG00182","FIN","Finnish in Finland","male"
"HG00183","FIN","Finnish in Finland","male"
"HG00185","FIN","Finnish in Finland","male"
"HG00186","FIN","Finnish in Finland","male"
"HG00187","FIN","Finnish in Finland","male"
"HG00188","FIN","Finnish in Finland","male"
"HG00189","FIN","Finnish in Finland","male"
"HG00190","FIN","Finnish in Finland","male"
"HG00231","GBR","British in England and Scotland","female"
"HG00232","GBR","British in England and Scotland","female"
"HG00233","GBR","British in England and Scotland","female"
"HG00234","GBR","British in England and Scotland","male"
"HG00235","GBR","British in England and Scotland","female"
"HG00236","GBR","British in England and Scotland","female"
"HG00237","GBR","British in England and Scotland","female"
"HG00238","GBR","British in England and Scotland","female"
"HG00239","GBR","British in England and Scotland","female"
"HG00240","GBR","British in England and Scotland","female"
"HG00242","GBR","British in England and Scotland","male"
"HG00243","GBR","British in England and Scotland","male"
"HG00244","GBR","British in England and Scotland","male"
"HG00245","GBR","British in England and Scotland","female"
"HG00246","GBR","British in England and Scotland","male"
"HG00249","GBR","British in England and Scotland","female"
"HG00250","GBR","British in England and Scotland","female"
"HG00251","GBR","British in England and Scotland","male"
"HG00252","GBR","British in England and Scotland","male"
"HG00253","GBR","British in England and Scotland","female"
"HG00254","GBR","British in England and Scotland","female"
"HG00255","GBR","British in England and Scotland","female"
"HG00256","GBR","British in England and Scotland","male"
"HG00257","GBR","British in England and Scotland","female"
"HG00258","GBR","British in England and Scotland","female"
"HG00259","GBR","British in England and Scotland","female"
"HG00260","GBR","British in England and Scotland","male"
"HG00261","GBR","British in England and Scotland","female"
"HG00262","GBR","British in England and Scotland","female"
"HG00263","GBR","British in England and Scotland","female"
"HG00264","GBR","British in England and Scotland","male"
"HG00265","GBR","British in England and Scotland","male"
"HG00266","FIN","Finnish in Finland","female"
"HG00267","FIN","Finnish in Finland","male"
"HG00268","FIN","Finnish in Finland","female"
"HG00269","FIN","Finnish in Finland","female"
"HG00270","FIN","Finnish in Finland","female"
"HG00271","FIN","Finnish in Finland","male"
"HG00272","FIN","Finnish in Finland","female"
"HG00273","FIN","Finnish in Finland","male"
"HG00274","FIN","Finnish in Finland","female"
"HG00275","FIN","Finnish in Finland","female"
"HG00276","FIN","Finnish in Finland","female"
"HG00277","FIN","Finnish in Finland","male"
"HG00278","FIN","Finnish in Finland","male"
"HG00280","FIN","Finnish in Finland","male"
"HG00281","FIN","Finnish in Finland","female"
"HG00282","FIN","Finnish in Finland","female"
"HG00284","FIN","Finnish in Finland","male"
"HG00285","FIN","Finnish in Finland","female"
"HG00288","FIN","Finnish in Finland","female"
"HG00290","FIN","Finnish in Finland","male"
"HG00302","FIN","Finnish in Finland","female"
"HG00303","FIN","Finnish in Finland","male"
"HG00304","FIN","Finnish in Finland","female"
"HG00306","FIN","Finnish in Finland","female"
"HG00308","FIN","Finnish in Finland","male"
"HG00309","FIN","Finnish in Finland","female"
"HG00310","FIN","Finnish in Finland","male"
"HG00311","FIN","Finnish in Finland","male"
"HG00312","FIN","Finnish in Finland","male"
"HG00313","FIN","Finnish in Finland","female"
"HG00315","FIN","Finnish in Finland","female"
"HG00318","FIN","Finnish in Finland","female"
"HG00319","FIN","Finnish in Finland","female"
"HG00320","FIN","Finnish in Finland","female"
"HG00321","FIN","Finnish in Finland","male"
"HG00323","FIN","Finnish in Finland","female"
"HG00324","FIN","Finnish in Finland","female"
"HG00325","FIN","Finnish in Finland","male"
"HG00326","FIN","Finnish in Finland","female"
"HG00327","FIN","Finnish in Finland","female"
"HG00328","FIN","Finnish in Finland","female"
"HG00329","FIN","Finnish in Finland","male"
"HG00330","FIN","Finnish in Finland","female"
"HG00331","FIN","Finnish in Finland","female"
"HG00332","FIN","Finnish in Finland","female"
"HG00334","FIN","Finnish in Finland","female"
"HG00335","FIN","Finnish in Finland","male"
"HG00336","FIN","Finnish in Finland","male"
"HG00337","FIN","Finnish in Finland","female"
"HG00338","FIN","Finnish in Finland","male"
"HG00339","FIN","Finnish in Finland","female"
"HG00341","FIN","Finnish in Finland","male"
"HG00342","FIN","Finnish in Finland","male"
"HG00343","FIN","Finnish in Finland","female"
"HG00344","FIN","Finnish in Finland","female"
"HG00345","FIN","Finnish in Finland","male"
"HG00346","FIN","Finnish in Finland","female"
"HG00349","FIN","Finnish in Finland","female"
"HG00350","FIN","Finnish in Finland","female"
"HG00351","FIN","Finnish in Finland","male"
"HG00353","FIN","Finnish in Finland","female"
"HG00355","FIN","Finnish in Finland","female"
"HG00356","FIN","Finnish in Finland","female"
"HG00357","FIN","Finnish in Finland","female"
"HG00358","FIN","Finnish in Finland","male"
"HG00359","FIN","Finnish in Finland","female"
"HG00360","FIN","Finnish in Finland","male"
"HG00361","FIN","Finnish in Finland","female"
"HG00362","FIN","Finnish in Finland","female"
"HG00364","FIN","Finnish in Finland","female"
"HG00365","FIN","Finnish in Finland","female"
"HG00366","FIN","Finnish in Finland","male"
"HG00367","FIN","Finnish in Finland","female"
"HG00368","FIN","Finnish in Finland","female"
